종목명,종목코드,상장시장
CJ ENM,35760,KOSDAQ
알테오젠,196170,KOSDAQ
엘앤에프,66970,KOSDAQ
휴젤,145020,KOSDAQ
스튜디오드래곤,253450,KOSDAQ
리노공업,58470,KOSDAQ
솔브레인,357780,KOSDAQ
원익IPS,240810,KOSDAQ
티씨케이,64760,KOSDAQ
천보,278280,KOSDAQ
케이엠더블유,32500,KOSDAQ
제넥신,95700,KOSDAQ
LX세미콘,108320,KOSDAQ
에스티팜,237690,KOSDAQ
네이처셀,7390,KOSDAQ
고영,98460,KOSDAQ
오스템임플란트,48260,KOSDAQ
PI첨단소재,178920,KOSDAQ
파라다이스,34230,KOSDAQ
동진쎄미켐,5290,KOSDAQ
동화기업,25900,KOSDAQ
아프리카TV,67160,KOSDAQ
컴투스,78340,KOSDAQ
NICE평가정보,30190,KOSDAQ
에스에프에이,56190,KOSDAQ
셀리버리,268600,KOSDAQ
에스엠,41510,KOSDAQ
차바이오텍,85660,KOSDAQ
JYP Ent.,35900,KOSDAQ
클래시스,214150,KOSDAQ
콜마비앤에이치,200130,KOSDAQ
이오테크닉스,39030,KOSDAQ
덕산네오룩스,213420,KOSDAQ
레고켐바이오,141080,KOSDAQ
NHN한국사이버결제,60250,KOSDAQ
메디톡스,86900,KOSDAQ
유바이오로직스,206650,KOSDAQ
메드팩토,235980,KOSDAQ
박셀바이오,323990,KOSDAQ
포스코 ICT,22100,KOSDAQ
메지온,140410,KOSDAQ
SFA반도체,36540,KOSDAQ
삼천당제약,250,KOSDAQ
현대바이오,48410,KOSDAQ
동국제약,86450,KOSDAQ
아이티엠반도체,84850,KOSDAQ
서울반도체,46890,KOSDAQ
유진테크,84370,KOSDAQ
엑세스바이오,950130,KOSDAQ
웹젠,69080,KOSDAQ
셀리드,299660,KOSDAQ
오스코텍,39200,KOSDAQ
하나머티리얼즈,166090,KOSDAQ
녹십자랩셀,144510,KOSDAQ
와이지엔터테인먼트,122870,KOSDAQ
RFHIC,218410,KOSDAQ
에이치엘비생명과학,67630,KOSDAQ
위메이드,112040,KOSDAQ
메가스터디교육,215200,KOSDAQ
헬릭스미스,84990,KOSDAQ
에이비엘바이오,298380,KOSDAQ
나노스,151910,KOSDAQ
데브시스터즈,194480,KOSDAQ
아난티,25980,KOSDAQ
바이오니아,64550,KOSDAQ
하림지주,3380,KOSDAQ
골프존,215000,KOSDAQ
네패스,33640,KOSDAQ
대주전자재료,78600,KOSDAQ
넵튠,217270,KOSDAQ
상아프론테크,89980,KOSDAQ
파마리서치,214450,KOSDAQ
파크시스템스,140860,KOSDAQ
에코마케팅,230360,KOSDAQ
아주IB투자,27360,KOSDAQ
심텍,222800,KOSDAQ
젬백스,82270,KOSDAQ
티에스이,131290,KOSDAQ
에이스테크,88800,KOSDAQ
원익QnC,74600,KOSDAQ
압타바이오,293780,KOSDAQ
아이진,185490,KOSDAQ
서진시스템,178320,KOSDAQ
솔브레인홀딩스,36830,KOSDAQ
휴온스글로벌,84110,KOSDAQ
KG ETS,151860,KOSDAQ
아미코젠,92040,KOSDAQ
테스나,131970,KOSDAQ
인트론바이오,48530,KOSDAQ
디오,39840,KOSDAQ
엘앤씨바이오,290650,KOSDAQ
코미팜,41960,KOSDAQ
안트로젠,65660,KOSDAQ
케어젠,214370,KOSDAQ
이녹스첨단소재,272290,KOSDAQ
엔지켐생명과학,183490,KOSDAQ
인터파크,35080,KOSDAQ
주성엔지니어링,36930,KOSDAQ
에스앤에스텍,101490,KOSDAQ
이오플로우,294090,KOSDAQ
안랩,53800,KOSDAQ
한국비엔씨,256840,KOSDAQ
국일제지,78130,KOSDAQ
휴마시스,205470,KOSDAQ
CMG제약,58820,KOSDAQ
휴온스,243070,KOSDAQ
위지윅스튜디오,299900,KOSDAQ
씨아이에스,222080,KOSDAQ
코나아이,52400,KOSDAQ
비에이치,90460,KOSDAQ
코미코,183300,KOSDAQ
티케이케미칼,104480,KOSDAQ
코웰패션,33290,KOSDAQ
코리아센터,290510,KOSDAQ
우리기술투자,41190,KOSDAQ
올릭스,226950,KOSDAQ
서울바이오시스,92190,KOSDAQ
삼강엠앤티,100090,KOSDAQ
피에스케이,319660,KOSDAQ
KG이니시스,35600,KOSDAQ
삼표시멘트,38500,KOSDAQ
카페24,42000,KOSDAQ
한글과컴퓨터,30520,KOSDAQ
바이넥스,53030,KOSDAQ
매일유업,267980,KOSDAQ
피엔티,137400,KOSDAQ
다원시스,68240,KOSDAQ
제테마,216080,KOSDAQ
동원개발,13120,KOSDAQ
네오위즈,95660,KOSDAQ
인선이엔티,60150,KOSDAQ
엘비세미콘,61970,KOSDAQ
테스,95610,KOSDAQ
에이피티씨,89970,KOSDAQ
에프에스티,36810,KOSDAQ
넥스틴,348210,KOSDAQ
네패스아크,330860,KOSDAQ
디앤씨미디어,263720,KOSDAQ
사람인에이치알,143240,KOSDAQ
파트론,91700,KOSDAQ
조이시티,67000,KOSDAQ
제이앤티씨,204270,KOSDAQ
다우데이타,32190,KOSDAQ
알서포트,131370,KOSDAQ
티움바이오,321550,KOSDAQ
알체라,347860,KOSDAQ
에이스침대,3800,KOSDAQ
한국파마,32300,KOSDAQ
KMH,122450,KOSDAQ
바디텍메드,206640,KOSDAQ
성우하이텍,15750,KOSDAQ
KH바텍,60720,KOSDAQ
바텍,43150,KOSDAQ
서부T&D,6730,KOSDAQ
테크윙,89030,KOSDAQ
고바이오랩,348150,KOSDAQ
현대무벡스,319400,KOSDAQ
와이아이케이,232140,KOSDAQ
크리스탈지노믹스,83790,KOSDAQ
하나기술,299030,KOSDAQ
인탑스,49070,KOSDAQ
하나마이크론,67310,KOSDAQ
케이티알파,36030,KOSDAQ
비덴트,121800,KOSDAQ
엠투엔,33310,KOSDAQ
유니테스트,86390,KOSDAQ
이베스트투자증권,78020,KOSDAQ
이엔에프테크놀로지,102710,KOSDAQ
지놈앤컴퍼니,314130,KOSDAQ
서희건설,35890,KOSDAQ
유비케어,32620,KOSDAQ
맘스터치,220630,KOSDAQ
다날,64260,KOSDAQ
제이시스메디칼,287410,KOSDAQ
크리스에프앤씨,110790,KOSDAQ
쎄트렉아이,99320,KOSDAQ
