종목명,종목코드,상장시장
일진머티리얼즈,020150,KOSPI
GS리테일,007070,KOSPI
호텔신라,008770,KOSPI
NH투자증권,005940,KOSPI
씨에스윈드,112610,KOSPI
대우조선해양,042660,KOSPI
현대오토에버,307950,KOSPI
녹십자,006280,KOSPI
메리츠증권,008560,KOSPI
신풍제약,019170,KOSPI
현대미포조선,010620,KOSPI
한국가스공사,036460,KOSPI
포스코인터내셔널,047050,KOSPI
한국항공우주,047810,KOSPI
메리츠금융지주,138040,KOSPI
두산퓨얼셀,336260,KOSPI
휠라홀딩스,081660,KOSPI
한화시스템,272210,KOSPI
롯데쇼핑,023530,KOSPI
키움증권,039490,KOSPI
대우건설,047040,KOSPI
에스원,012750,KOSPI
동서,026960,KOSPI
OCI,010060,KOSPI
한화생명,088350,KOSPI
한솔케미칼,014680,KOSPI
KCC,002380,KOSPI
LG화학우,051915,KOSPI
메리츠화재,000060,KOSPI
SK케미칼,285130,KOSPI
만도,204320,KOSPI
제일기획,030000,KOSPI
BGF리테일,282330,KOSPI
한샘,009240,KOSPI
DB하이텍,000990,KOSPI
효성첨단소재,298050,KOSPI
신세계,004170,KOSPI
현대로템,064350,KOSPI
현대차우,005385,KOSPI
현대위아,011210,KOSPI
더존비즈온,012510,KOSPI
한화에어로스페이스,012450,KOSPI
효성,004800,KOSPI
BNK금융지주,138930,KOSPI
KODEX 단기채권,153130,KOSPI
하이트진로,000080,KOSPI
LS,006260,KOSPI
현대해상,001450,KOSPI
한화,000880,KOSPI
대한전선,001440,KOSPI
KODEX 200선물인버스2X,252670,KOSPI
코오롱인더,120110,KOSPI
현대엘리베이,017800,KOSPI
TIGER 200,102110,KOSPI
대웅,003090,KOSPI
한전기술,052690,KOSPI
진원생명과학,011000,KOSPI
HDC현대산업개발,294870,KOSPI
동국제강,001230,KOSPI
농심,004370,KOSPI
금호타이어,073240,KOSPI
오뚜기,007310,KOSPI
한전KPS,051600,KOSPI
LS ELECTRIC,010120,KOSPI
대웅제약,069620,KOSPI
현대백화점,069960,KOSPI
한미반도체,042700,KOSPI
롯데정밀화학,004000,KOSPI
KODEX 삼성그룹,102780,KOSPI
솔루스첨단소재,336370,KOSPI
영원무역,111770,KOSPI
대한유화,006650,KOSPI
한국앤컴퍼니,000240,KOSPI
아이에스동서,010780,KOSPI
KG동부제철,016380,KOSPI
두산,000150,KOSPI
명신산업,009900,KOSPI
지누스,013890,KOSPI
에스엘,005850,KOSPI
SK네트웍스,001740,KOSPI
DGB금융지주,139130,KOSPI
NHN,181710,KOSPI
JB금융지주,175330,KOSPI
녹십자홀딩스,005250,KOSPI
종근당,185750,KOSPI
부광약품,003000,KOSPI
LG생활건강우,051905,KOSPI
롯데리츠,330590,KOSPI
코스맥스,192820,KOSPI
KODEX 단기채권PLUS,214980,KOSPI
KODEX 레버리지,122630,KOSPI
신세계인터내셔날,031430,KOSPI
KODEX 종합채권(AA-이상)액티브,273130,KOSPI
롯데관광개발,032350,KOSPI
LG전자우,066575,KOSPI
티와이홀딩스,363280,KOSPI
효성화학,298000,KOSPI
KODEX 200TR,278530,KOSPI
영풍,000670,KOSPI
TIGER TOP10,292150,KOSPI
한국콜마,161890,KOSPI
롯데칠성,005300,KOSPI
세방전지,004490,KOSPI
이노션,214320,KOSPI
셀트리온헬스케어,091990,KOSDAQ
카카오게임즈,293490,KOSDAQ
에코프로비엠,247540,KOSDAQ
셀트리온제약,068760,KOSDAQ
펄어비스,263750,KOSDAQ
SK머티리얼즈,036490,KOSDAQ
에이치엘비,028300,KOSDAQ
씨젠,096530,KOSDAQ
CJ ENM,035760,KOSDAQ
알테오젠,196170,KOSDAQ
엘앤에프,066970,KOSDAQ
휴젤,145020,KOSDAQ
스튜디오드래곤,253450,KOSDAQ
리노공업,058470,KOSDAQ
솔브레인,357780,KOSDAQ
원익IPS,240810,KOSDAQ
티씨케이,064760,KOSDAQ
천보,278280,KOSDAQ
케이엠더블유,032500,KOSDAQ
제넥신,095700,KOSDAQ
LX세미콘,108320,KOSDAQ
에스티팜,237690,KOSDAQ
네이처셀,007390,KOSDAQ
고영,098460,KOSDAQ
오스템임플란트,048260,KOSDAQ
PI첨단소재,178920,KOSDAQ
파라다이스,034230,KOSDAQ
동진쎄미켐,005290,KOSDAQ
동화기업,025900,KOSDAQ
아프리카TV,067160,KOSDAQ
컴투스,078340,KOSDAQ
NICE평가정보,030190,KOSDAQ
에스에프에이,056190,KOSDAQ
셀리버리,268600,KOSDAQ
에스엠,041510,KOSDAQ
차바이오텍,085660,KOSDAQ
JYP Ent.,035900,KOSDAQ
클래시스,214150,KOSDAQ
콜마비앤에이치,200130,KOSDAQ
이오테크닉스,039030,KOSDAQ
덕산네오룩스,213420,KOSDAQ
레고켐바이오,141080,KOSDAQ
NHN한국사이버결제,060250,KOSDAQ
메디톡스,086900,KOSDAQ
유바이오로직스,206650,KOSDAQ
메드팩토,235980,KOSDAQ
박셀바이오,323990,KOSDAQ
포스코 ICT,022100,KOSDAQ
메지온,140410,KOSDAQ
SFA반도체,036540,KOSDAQ
삼천당제약,000250,KOSDAQ
현대바이오,048410,KOSDAQ
동국제약,086450,KOSDAQ
아이티엠반도체,084850,KOSDAQ
서울반도체,046890,KOSDAQ
유진테크,084370,KOSDAQ
엑세스바이오,950130,KOSDAQ
웹젠,069080,KOSDAQ
셀리드,299660,KOSDAQ
오스코텍,039200,KOSDAQ
하나머티리얼즈,166090,KOSDAQ
녹십자랩셀,144510,KOSDAQ
와이지엔터테인먼트,122870,KOSDAQ
RFHIC,218410,KOSDAQ
에이치엘비생명과학,067630,KOSDAQ
위메이드,112040,KOSDAQ
메가스터디교육,215200,KOSDAQ
헬릭스미스,084990,KOSDAQ
에이비엘바이오,298380,KOSDAQ
나노스,151910,KOSDAQ
데브시스터즈,194480,KOSDAQ
아난티,025980,KOSDAQ
바이오니아,064550,KOSDAQ
하림지주,003380,KOSDAQ
골프존,215000,KOSDAQ
네패스,033640,KOSDAQ
대주전자재료,078600,KOSDAQ
넵튠,217270,KOSDAQ
상아프론테크,089980,KOSDAQ
파마리서치,214450,KOSDAQ
파크시스템스,140860,KOSDAQ
에코마케팅,230360,KOSDAQ
아주IB투자,027360,KOSDAQ
심텍,222800,KOSDAQ
젬백스,082270,KOSDAQ
티에스이,131290,KOSDAQ
에이스테크,088800,KOSDAQ
원익QnC,074600,KOSDAQ
압타바이오,293780,KOSDAQ
아이진,185490,KOSDAQ
서진시스템,178320,KOSDAQ
솔브레인홀딩스,036830,KOSDAQ
휴온스글로벌,084110,KOSDAQ
KG ETS,151860,KOSDAQ
아미코젠,092040,KOSDAQ
테스나,131970,KOSDAQ
인트론바이오,048530,KOSDAQ
디오,039840,KOSDAQ
엘앤씨바이오,290650,KOSDAQ
코미팜,041960,KOSDAQ
안트로젠,065660,KOSDAQ
케어젠,214370,KOSDAQ
이녹스첨단소재,272290,KOSDAQ
엔지켐생명과학,183490,KOSDAQ
인터파크,035080,KOSDAQ
주성엔지니어링,036930,KOSDAQ
에스앤에스텍,101490,KOSDAQ
이오플로우,294090,KOSDAQ
안랩,053800,KOSDAQ
한국비엔씨,256840,KOSDAQ
국일제지,078130,KOSDAQ
휴마시스,205470,KOSDAQ
CMG제약,058820,KOSDAQ
휴온스,243070,KOSDAQ
위지윅스튜디오,299900,KOSDAQ
씨아이에스,222080,KOSDAQ
코나아이,052400,KOSDAQ
비에이치,090460,KOSDAQ
코미코,183300,KOSDAQ
티케이케미칼,104480,KOSDAQ
코웰패션,033290,KOSDAQ
코리아센터,290510,KOSDAQ
우리기술투자,041190,KOSDAQ
올릭스,226950,KOSDAQ
서울바이오시스,092190,KOSDAQ
삼강엠앤티,100090,KOSDAQ
피에스케이,319660,KOSDAQ
KG이니시스,035600,KOSDAQ
삼표시멘트,038500,KOSDAQ
카페24,042000,KOSDAQ
한글과컴퓨터,030520,KOSDAQ
바이넥스,053030,KOSDAQ
매일유업,267980,KOSDAQ
피엔티,137400,KOSDAQ
다원시스,068240,KOSDAQ
제테마,216080,KOSDAQ
동원개발,013120,KOSDAQ
네오위즈,095660,KOSDAQ
인선이엔티,060150,KOSDAQ
엘비세미콘,061970,KOSDAQ
테스,095610,KOSDAQ
에이피티씨,089970,KOSDAQ
에프에스티,036810,KOSDAQ
넥스틴,348210,KOSDAQ
네패스아크,330860,KOSDAQ
디앤씨미디어,263720,KOSDAQ
사람인에이치알,143240,KOSDAQ
파트론,091700,KOSDAQ
조이시티,067000,KOSDAQ
제이앤티씨,204270,KOSDAQ
다우데이타,032190,KOSDAQ
알서포트,131370,KOSDAQ
티움바이오,321550,KOSDAQ
알체라,347860,KOSDAQ
에이스침대,003800,KOSDAQ
한국파마,032300,KOSDAQ
KMH,122450,KOSDAQ
바디텍메드,206640,KOSDAQ
성우하이텍,015750,KOSDAQ
KH바텍,060720,KOSDAQ
바텍,043150,KOSDAQ
서부T&D,006730,KOSDAQ
테크윙,089030,KOSDAQ
고바이오랩,348150,KOSDAQ
현대무벡스,319400,KOSDAQ
와이아이케이,232140,KOSDAQ
크리스탈지노믹스,083790,KOSDAQ
하나기술,299030,KOSDAQ
인탑스,049070,KOSDAQ
하나마이크론,067310,KOSDAQ
케이티알파,036030,KOSDAQ
녹십자셀,031390,KOSDAQ
비덴트,121800,KOSDAQ
엠투엔,033310,KOSDAQ
유니테스트,086390,KOSDAQ
이베스트투자증권,078020,KOSDAQ
이엔에프테크놀로지,102710,KOSDAQ
지놈앤컴퍼니,314130,KOSDAQ
서희건설,035890,KOSDAQ
유비케어,032620,KOSDAQ
맘스터치,220630,KOSDAQ
다날,064260,KOSDAQ
제이시스메디칼,287410,KOSDAQ
크리스에프앤씨,110790,KOSDAQ
쎄트렉아이,099320,KOSDAQ
대아티아이,045390,KOSDAQ
더네이쳐홀딩스,298540,KOSDAQ
코엔텍,029960,KOSDAQ
원익홀딩스,030530,KOSDAQ
웹케시,053580,KOSDAQ
신흥에스이씨,243840,KOSDAQ
